twotheta,intensity
22.4831,2927
22.5035,2927
22.524,2900
22.5445,2834
22.5649,2858
22.5854,2941
22.6059,2924
22.6263,2895
22.6468,2838
22.6672,2919
22.6877,2931
22.7082,2948
22.7286,2840
22.7491,2827
22.7696,2892
22.79,2812
22.8105,2914
22.831,2809
22.8514,2878
22.8719,2893
22.8924,2910
22.9128,2867
22.9333,2909
22.9537,2948
22.9742,2881
22.9947,2835
23.0151,2885
23.0356,2724
23.0561,2933
23.0765,2855
23.097,2872
23.1175,2921
23.1379,2848
23.1584,2912
23.1788,2810
23.1993,2919
23.2198,2836
23.2402,2803
23.2607,2801
23.2812,2818
23.3016,2794
23.3221,2815
23.3426,2796
23.363,2850
23.3835,2820
23.4039,2853
23.4244,2837
23.4449,2848
23.4653,2869
23.4858,2809
23.5063,2884
23.5267,2874
23.5472,2824
23.5677,2837
23.5881,2908
23.6086,2764
23.6291,2837
23.6495,2770
23.67,2743
23.6904,2642
23.7109,2776
23.7314,2864
23.7518,2807
23.7723,2907
23.7928,2772
23.8132,2757
23.8337,2781
23.8542,2766
23.8746,2777
23.8951,2745
23.9155,2708
23.936,2773
23.9565,2751
23.9769,2717
23.9974,2699
24.0179,2729
24.0383,2690
24.0588,2757
24.0793,2799
24.0997,2720
24.1202,2714
24.1407,2688
24.1611,2618
24.1816,2763
24.202,2670
24.2225,2645
24.243,2705
24.2634,2791
24.2839,2642
24.3044,2583
24.3248,2811
24.3453,2706
24.3658,2704
24.3862,2696
24.4067,2739
24.4271,2622
24.4476,2644
24.4681,2622
24.4885,2692
24.509,2641
24.5295,2602
24.5499,2633
24.5704,2609
24.5909,2498
24.6113,2648
24.6318,2590
24.6522,2633
24.6727,2615
24.6932,2660
24.7136,2692
24.7341,2628
24.7546,2611
24.775,2618
24.7955,2623
24.816,2579
24.8364,2589
24.8569,2589
24.8774,2616
24.8978,2582
24.9183,2589
24.9387,2647
24.9592,2632
24.9797,2626
25.0001,2568
25.0206,2436
25.0411,2535
25.0615,2543
25.082,2626
25.1025,2457
25.1229,2582
25.1434,2517
25.1638,2507
25.1843,2494
25.2048,2505
25.2252,2452
25.2457,2500
25.2662,2521
25.2866,2566
25.3071,2455
25.3276,2470
25.348,2497
25.3685,2421
25.3889,2504
25.4094,2448
25.4299,2470
25.4503,2469
25.4708,2453
25.4913,2431
25.5117,2410
25.5322,2402
25.5527,2449
25.5731,2392
25.5936,2381
25.6141,2463
25.6345,2390
25.655,2449
25.6754,2424
25.6959,2426
25.7164,2469
25.7368,2368
25.7573,2423
25.7778,2403
25.7982,2404
25.8187,2376
25.8392,2370
25.8596,2392
25.8801,2335
25.9005,2369
25.921,2304
25.9415,2369
25.9619,2328
25.9824,2356
26.0029,2399
26.0233,2383
26.0438,2366
26.0643,2296
26.0847,2398
26.1052,2289
26.1256,2386
26.1461,2219
26.1666,2430
26.187,2397
26.2075,2403
26.228,2316
26.2484,2333
26.2689,2341
26.2894,2309
26.3098,2216
26.3303,2329
26.3508,2221
26.3712,2304
26.3917,2249
26.4121,2285
26.4326,2200
26.4531,2295
26.4735,2324
26.494,2286
26.5145,2271
26.5349,2285
26.5554,2278
26.5759,2248
26.5963,2236
26.6168,2246
26.6372,2190
26.6577,2226
26.6782,2242
26.6986,2195
26.7191,2267
26.7396,2215
26.76,2231
26.7805,2136
26.801,2258
26.8214,2199
26.8419,2167
26.8623,2162
26.8828,2134
26.9033,2123
26.9237,2138
26.9442,2219
26.9647,2120
26.9851,2116
27.0056,2164
27.0261,2210
27.0465,2110
27.067,2161
27.0875,2101
27.1079,2196
27.1284,2153
27.1488,2159
27.1693,2173
27.1898,2171
27.2102,2078
27.2307,2076
27.2512,2290
27.2716,2068
27.2921,2094
27.3126,2140
27.333,2073
27.3535,2086
27.3739,2044
27.3944,2055
27.4149,2097
27.4353,2035
27.4558,2085
27.4763,2107
27.4967,2037
27.5172,2091
27.5377,2069
27.5581,1998
27.5786,2156
27.599,1987
27.6195,1971
27.64,2081
27.6604,2088
27.6809,2048
27.7014,2040
27.7218,2070
27.7423,2062
27.7628,1967
27.7832,2110
27.8037,1996
27.8242,2037
27.8446,1991
27.8651,2024
27.8855,1959
27.906,1951
27.9265,2083
27.9469,1976
27.9674,2062
27.9879,1958
28.0083,1959
28.0288,1988
28.0493,1984
28.0697,1929
28.0902,1982
28.1106,2056
28.1311,1957
28.1516,1960
28.172,1933
28.1925,2024
28.213,1971
28.2334,1963
28.2539,1899
28.2744,1937
28.2948,2010
28.3153,1972
28.3357,1943
28.3562,1979
28.3767,1921
28.3971,1901
28.4176,1869
28.4381,1891
28.4585,1905
28.479,1922
28.4995,1925
28.5199,1855
28.5404,1934
28.5609,1969
28.5813,1932
28.6018,1836
28.6222,1923
28.6427,1803
28.6632,1902
28.6836,1879
28.7041,1924
28.7246,1852
28.745,1860
28.7655,1909
28.786,1915
28.8064,1882
28.8269,1879
28.8473,1840
28.8678,1830
28.8883,1811
28.9087,1838
28.9292,1941
28.9497,1914
28.9701,1883
28.9906,1829
29.0111,1931
29.0315,1904
29.052,1792
29.0724,1775
29.0929,1861
29.1134,1865
29.1338,1855
29.1543,1880
29.1748,1811
29.1952,1763
29.2157,1809
29.2362,1851
29.2566,1886
29.2771,1830
29.2976,1753
29.318,1840
29.3385,1814
29.3589,1836
29.3794,1804
29.3999,1857
29.4203,1841
29.4408,1810
29.4613,1797
29.4817,1771
29.5022,1799
