twotheta,intensity
21.3098,4221
21.3303,4149
21.3508,4044
21.3712,4073
21.3917,4148
21.4121,4121
21.4326,4248
21.4531,4090
21.4735,4113
21.494,4136
21.5145,4025
21.5349,4190
21.5554,4003
21.5759,4082
21.5963,4127
21.6168,4146
21.6372,4282
21.6577,4186
21.6782,4173
21.6986,4166
21.7191,4127
21.7396,4124
21.76,4252
21.7805,4102
21.801,4364
21.8214,4357
21.8419,4147
21.8623,4188
21.8828,4111
21.9033,4168
21.9237,4180
21.9442,4289
21.9647,4139
21.9851,4137
22.0056,4138
22.0261,4152
22.0465,4142
22.067,4184
22.0875,4198
22.1079,4194
22.1284,4085
22.1488,4216
22.1693,4121
22.1898,4216
22.2102,4126
22.2307,4140
22.2512,4187
22.2716,4192
22.2921,4116
22.3126,4275
22.333,4270
22.3535,4146
22.3739,4188
22.3944,4215
22.4149,4260
22.4353,4171
22.4558,4169
22.4763,4128
22.4967,4254
22.5172,4235
22.5377,4183
22.5581,4169
22.5786,4312
22.599,4102
22.6195,4199
22.64,4146
22.6604,4262
22.6809,4221
22.7014,4203
22.7218,4212
22.7423,4247
22.7628,4246
22.7832,4133
22.8037,4152
22.8242,4136
22.8446,4105
22.8651,4230
22.8855,4283
22.906,4233
22.9265,4194
22.9469,4226
22.9674,4217
22.9879,4256
23.0083,4251
23.0288,4202
23.0493,4214
23.0697,4239
23.0902,4280
23.1106,4265
23.1311,4297
23.1516,4323
23.172,4125
23.1925,4290
23.213,4168
23.2334,4184
23.2539,4294
23.2744,4313
23.2948,4269
23.3153,4172
23.3357,4093
23.3562,4174
23.3767,4306
23.3971,4237
23.4176,4091
23.4381,4273
23.4585,4271
23.479,4295
23.4995,4103
23.5199,4226
23.5404,4070
23.5609,4287
23.5813,4191
23.6018,4300
23.6222,4106
23.6427,4250
23.6632,4274
23.6836,4288
23.7041,4245
23.7246,4320
23.745,4253
23.7655,4264
23.786,4263
23.8064,4231
23.8269,4251
23.8473,4157
23.8678,4269
23.8883,4237
23.9087,4193
23.9292,4220
23.9497,4274
23.9701,4256
23.9906,4275
24.0111,4375
24.0315,4261
24.052,4262
24.0724,4268
24.0929,4307
24.1134,4201
24.1338,4239
24.1543,4140
24.1748,4310
24.1952,4194
24.2157,4225
24.2362,4128
24.2566,4275
24.2771,4275
24.2976,4296
24.318,4236
24.3385,4283
24.3589,4271
24.3794,4257
24.3999,4199
24.4203,4273
24.4408,4351
24.4613,4321
24.4817,4233
24.5022,4318
24.5227,4230
24.5431,4194
24.5636,4241
24.584,4331
24.6045,4262
24.625,4214
24.6454,4210
24.6659,4232
24.6864,4230
24.7068,4299
24.7273,4370
24.7478,4309
24.7682,4258
24.7887,4262
24.8091,4387
24.8296,4212
24.8501,4373
24.8705,4262
24.891,4282
24.9115,4236
24.9319,4266
24.9524,4344
24.9729,4403
24.9933,4223
25.0138,4348
25.0343,4309
25.0547,4202
25.0752,4292
25.0956,4297
25.1161,4291
25.1366,4275
25.157,4210
25.1775,4394
25.198,4334
25.2184,4231
25.2389,4281
25.2594,4290
25.2798,4312
25.3003,4194
25.3207,4420
25.3412,4365
25.3617,4272
25.3821,4410
25.4026,4394
25.4231,4211
25.4435,4310
25.464,4260
25.4845,4202
25.5049,4354
25.5254,4305
25.5458,4341
25.5663,4447
25.5868,4370
25.6072,4317
25.6277,4363
25.6482,4348
25.6686,4269
25.6891,4319
25.7096,4425
25.73,4330
25.7505,4257
25.771,4273
25.7914,4326
25.8119,4459
25.8323,4255
25.8528,4359
25.8733,4323
25.8937,4317
25.9142,4389
25.9347,4224
25.9551,4306
25.9756,4382
25.9961,4181
26.0165,4217
26.037,4253
26.0574,4181
26.0779,4278
26.0984,4306
26.1188,4226
26.1393,4388
26.1598,4325
26.1802,4347
26.2007,4231
26.2212,4183
26.2416,4488
26.2621,4312
26.2825,4192
26.303,4304
26.3235,4317
26.3439,4381
26.3644,4247
26.3849,4313
26.4053,4326
26.4258,4301
26.4463,4335
26.4667,4379
26.4872,4190
26.5077,4261
26.5281,4281
26.5486,4368
26.569,4261
26.5895,4389
26.61,4336
26.6304,4319
26.6509,4232
26.6714,4140
26.6918,4279
26.7123,4308
26.7328,4243
26.7532,4186
26.7737,4170
26.7941,4416
26.8146,4262
26.8351,4205
26.8555,4257
26.876,4264
26.8965,4301
26.9169,4285
26.9374,4273
26.9579,4271
26.9783,4362
26.9988,4282
27.0192,4210
27.0397,4313
27.0602,4161
27.0806,4268
27.1011,4360
27.1216,4177
27.142,4224
27.1625,4241
27.183,4338
27.2034,4348
27.2239,4315
27.2444,4296
27.2648,4134
27.2853,4179
